Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=2.6534)   P(D|M,rr[2]=0.2289)   P(D|M,rr[3]=0.4957)   P(D|M,rr[4]=1.0697)   Posterior mean        
1065   8.13107e-19     9.53607e-20           1.09853e-20           1.26855e-18           1.78294e-18           0.857758              
1066   2.47333e-17     1.58247e-19           2.12373e-18           6.62584e-17           2.37684e-17           0.628915              
1067   1.76877e-15     1.16345e-19           2.72023e-15           3.6571e-15            5.65801e-17           0.387328              
1068   2.4699e-17      7.48035e-20           7.2181e-18            7.53036e-17           8.00154e-18           0.521658              
1069   8.96219e-18     1.05351e-19           1.44748e-18           2.59261e-17           5.69284e-18           0.579342              
1070   2.88011e-16     1.16932e-19           2.17574e-16           8.00772e-16           3.15887e-17           0.456006              
1071   5.19552e-13     1.61419e-19           1.53966e-12           3.47617e-13           5.27125e-16           0.278183              
1072   3.2828e-17      9.61257e-20           1.10215e-17           9.92319e-17           1.00019e-17           0.515675              
1073   3.94383e-16     1.58782e-19           2.63729e-16           1.12606e-15           4.84639e-17           0.464253              
1074   2.01908e-12     1.55992e-19           6.03487e-12           1.2998e-12            1.64972e-15           0.276283              
1075   1.31602e-14     1.47948e-19           1.93548e-14           2.8216e-14            2.87253e-16           0.390796              
1076   5.43801e-17     1.28555e-19           2.06936e-17           1.63309e-16           1.50757e-17           0.508234              
1077   6.88165e-15     1.15838e-19           1.094e-14             1.39563e-14           1.26506e-16           0.381566              
1078   6.05337e-17     1.00878e-19           2.3503e-17            1.82834e-16           1.51366e-17           0.503496              
1079   6.60449e-18     9.9698e-20            9.29144e-19           1.86247e-17           4.86381e-18           0.596729              
1080   2.36219e-10     1.6397e-19            8.2679e-10            3.1406e-11            5.66272e-15           0.238623              
1081   6.64672e-18     9.96485e-20           9.47471e-19           1.89796e-17           4.61996e-18           0.590662              
1082   2.38776e-14     1.22609e-19           5.27876e-14           3.38181e-14           1.81843e-16           0.334412              
1083   8.51233e-19     7.4603e-20            3.72578e-20           1.81868e-18           1.31393e-18           0.750268              
1084   2.96358e-13     1.62296e-19           7.16331e-13           3.59666e-13           1.0065e-15            0.318652              
1085   9.89777e-13     1.59568e-19           2.97192e-12           6.2367e-13            7.48286e-16           0.275269              
1086   1.2397e-16      1.32005e-19           4.53995e-17           3.77798e-16           3.03608e-17           0.504121              
1087   2.69687e-13     1.23831e-19           6.60409e-13           3.18876e-13           7.75187e-16           0.316251              
1088   8.11072e-18     1.03353e-19           9.81066e-19           2.24198e-17           6.66842e-18           0.60935               
1089   1.24943e-13     1.15765e-19           3.07015e-13           1.46622e-13           4.18022e-16           0.315697              
1090   6.12522e-13     1.39957e-19           1.74934e-12           4.75531e-13           8.05028e-16           0.28612               
1091   4.88195e-15     1.23899e-19           7.26639e-15           1.0365e-14            1.23864e-16           0.390005              
1092   9.37525e-17     1.51591e-19           2.70216e-17           2.85746e-16           3.10006e-17           0.522292              
1093   7.29285e-19     7.06194e-20           2.45709e-20           1.47206e-18           1.22393e-18           0.774176              
1094   1.20454e-18     7.7001e-20            6.38383e-20           2.81456e-18           1.60268e-18           0.708956              
1095   1.09075e-15     1.24088e-19           9.3997e-16            2.95846e-15           7.34489e-17           0.442045              
1096   1.21274e-11     2.00472e-19           3.99593e-11           4.10006e-12           2.23258e-15           0.253713              
1097   3.04693e-18     1.18186e-19           1.06421e-19           6.36877e-18           5.01082e-18           0.744011              
1098   8.8116e-15      1.10171e-19           1.44355e-14           1.74575e-14           1.45435e-16           0.377733              
1099   1.17439e-16     9.41435e-20           5.67993e-17           3.53917e-16           1.78845e-17           0.482204              
1100   2.157e-15       1.49669e-19           2.57988e-15           5.1677e-15            1.02287e-16           0.414637              
1101   1.78115e-17     9.89397e-20           7.02599e-18           5.3121e-17            5.02525e-18           0.509298              
1102   2.07307e-15     1.22608e-19           2.7463e-15            4.71845e-15           7.74397e-17           0.403747              
1103   5.8753e-15      1.05306e-19           9.34545e-15           1.19091e-14           1.09078e-16           0.381526              
1104   1.47431e-13     1.23248e-19           3.51314e-13           1.83949e-13           5.27954e-16           0.321191              
1105   2.8921e-17      8.15065e-20           1.06197e-17           8.77847e-17           7.40103e-18           0.506378              
1106   4.19564e-18     8.9662e-20            5.58057e-19           1.15165e-17           3.45396e-18           0.612372              
1107   5.76104e-17     6.24894e-20           3.16608e-17           1.71741e-16           6.62433e-18           0.472178              
1108   9.07787e-12     2.29275e-19           2.78757e-11           5.1039e-12            3.96749e-15           0.27022               
1109   6.6411e-17      1.09609e-19           2.34629e-17           2.02512e-16           1.70478e-17           0.507004              
1110   7.07832e-16     8.78381e-20           6.82178e-16           1.85908e-15           3.4942e-17            0.432                 
1111   4.94048e-17     1.15486e-19           1.54978e-17           1.51498e-16           1.38905e-17           0.513691              
1112   3.38219e-15     1.40063e-19           2.79172e-15           9.32116e-15           2.00652e-16           0.443543              
1113   2.46097e-16     9.93123e-20           1.99303e-16           6.74729e-16           2.26689e-17           0.449509              
1114   1.41124e-12     1.83479e-19           4.01319e-12           1.1128e-12            1.94427e-15           0.287027              
1115   4.04217e-18     7.95383e-20           5.59052e-19           1.13968e-17           2.97482e-18           0.598828              
1116   1.93367e-16     1.37379e-19           8.21974e-17           5.86085e-16           3.83239e-17           0.492997              
1117   1.19331e-15     1.5117e-19            9.9752e-16            3.25882e-15           8.9968e-17            0.445094              
1118   1.10967e-16     1.14146e-19           7.78467e-17           3.09761e-16           1.73899e-17           0.466928              
1119   1.14694e-17     1.09568e-19           1.34811e-18           3.22399e-17           8.90825e-18           0.601743              
1120   1.99754e-07     2.94123e-19           7.2095e-07            4.7576e-09            1.04629e-13           0.230607              
1121   4.8551e-16      1.30339e-19           3.34796e-16           1.3802e-15            5.51771e-17           0.461348              
1122   1.86262e-15     1.09801e-19           2.75269e-15           3.97147e-15           5.02968e-17           0.391028              
1123   7.8592e-16      1.51605e-19           5.57439e-16           2.22337e-15           8.41838e-17           0.458938              
1124   6.3197e-15      1.38638e-19           8.95977e-15           1.38591e-14           1.66211e-16           0.395327              
1125   4.05279e-13     1.38891e-19           1.16333e-12           3.08718e-13           5.89484e-16           0.285077              
1126   8.76488e-18     1.00299e-19           1.18964e-18           2.49193e-17           6.30459e-18           0.593064              
1127   3.27529         6.05758e-20           2.21562e-21           2.39181e-19           3.99143e-19           5.22148e-20           
1128   2.78752         7.23117e-20           3.28386e-22           1.03595e-19           4.35473e-19           6.03866e-20           
1129   3.78909e-15     1.08847e-19           5.6798e-15            8.00349e-15           9.73645e-17           0.389277              
1130   4.01931e-15     1.66146e-19           6.51114e-15           8.01534e-15           8.97955e-17           0.379919              
1131   5.69489e-18     1.08311e-19           8.95761e-19           1.64191e-17           3.67172e-18           0.584171              
1132   2.9628e-18      7.13829e-20           2.64129e-19           8.41364e-18           2.26485e-18           0.608414              
1133   2.12678e-14     1.28735e-19           4.89845e-14           2.81741e-14           1.3952e-16            0.32747               
1134   1.34645e-17     8.9994e-20            1.76429e-18           3.96049e-17           8.338e-18             0.577103              
1135   1.67864e-17     1.10956e-19           2.84728e-18           4.94371e-17           9.60887e-18           0.567573              
1136   3.87612e-18     1.20048e-19           3.14687e-19           9.67597e-18           4.45306e-18           0.666686              
1137   3.31525e-14     1.45624e-19           7.36851e-14           4.65681e-14           2.44405e-16           0.333506              
1138   1.80789e-18     9.5017e-20            1.76588e-19           4.5389e-18            1.98339e-18           0.667509              
1139   2.47975e-17     1.04305e-19           8.98362e-18           7.39133e-17           7.95723e-18           0.516589              
1140   7.32773e-09     1.70677e-19           2.62227e-08           3.99082e-10           2.10105e-14           0.232857              
1141   1.58967e-18     6.67541e-20           9.90552e-20           3.95664e-18           1.85829e-18           0.675736              
1142   5.59278e-16     1.60228e-19           3.32534e-16           1.63112e-15           7.68101e-17           0.471705              
1143   2.28618e-18     1.19309e-19           1.14098e-19           5.17895e-18           3.25246e-18           0.717177              
1144   2.61771e-16     1.56717e-19           1.4578e-16            7.61481e-16           4.90254e-17           0.481714              
1145   2.80319e-15     1.5249e-19            2.21806e-15           7.78569e-15           2.05749e-16           0.448059              
1146   1.997e-17       9.97375e-20           3.43236e-18           5.98123e-17           1.02982e-17           0.558631              
1147   2.51425e-14     1.12485e-19           5.80288e-14           3.31851e-14           1.67257e-16           0.327132              
1148   1.05469e-14     1.3287e-19            1.67944e-14           2.13549e-14           2.01811e-16           0.381479              
1149   4.9554e-16      1.26312e-19           3.7971e-16            1.37802e-15           4.81901e-17           0.453377              
1150   3.8405e-18      8.61852e-20           4.44295e-19           1.0575e-17            3.19523e-18           0.615356              
1151   3.05037         9.03431e-20           5.04337e-23           5.34946e-20           5.34194e-19           6.4684e-20            
1152   6.76366e-13     1.37181e-19           2.0105e-12            4.46378e-13           7.21539e-16           0.277525              
1153   5.5549e-15      1.14111e-19           7.06579e-15           1.29626e-14           1.78835e-16           0.406871              
1154   5.03248e-19     7.76203e-20           7.25928e-21           7.64943e-19           1.11024e-18           0.875692              
1155   1.08351e-17     1.28253e-19           1.43612e-18           3.07433e-17           7.89717e-18           0.594828              
1156   4.74334         6.70778e-20           3.38439e-21           3.79193e-19           5.58256e-19           4.97227e-20           
1157   4.93495e-17     1.0343e-19            1.50282e-17           1.48797e-16           1.71965e-17           0.523835              
1158   2.18744e-15     1.26075e-19           1.83868e-15           5.98652e-15           1.39554e-16           0.443074              
1159   6.5147e-17      9.76871e-20           2.44297e-17           1.99102e-16           1.4668e-17            0.500856              
1160   3.46015e-17     1.19049e-19           7.69027e-18           1.06732e-16           1.25148e-17           0.532345              
1161   9.17699e-19     9.0121e-20            2.70197e-20           1.75148e-18           1.65542e-18           0.792956              
1162   1.25553e-15     1.51755e-19           1.09674e-15           3.38326e-15           9.26978e-17           0.442107              
1163   1.03849e-13     1.2053e-19            2.57089e-13           1.19987e-13           3.17147e-16           0.314307              
1164   1.10441e-13     1.74166e-19           2.41497e-13           1.59284e-13           6.1702e-16            0.335892              
1165   5.16369e-15     1.65175e-19           7.6555e-15            1.09789e-14           1.4699e-16            0.390878              
1166   1.31756e-18     9.61845e-20           1.59331e-20           2.07999e-18           2.91154e-18           0.841006              
1167   3.46852e-14     1.92362e-19           7.4551e-14            5.1197e-14            3.29732e-16           0.339191              
1168   4.57471e-16     9.05738e-20           4.19723e-16           1.21648e-15           2.946e-17             0.43757               
1169   3.02354e-16     1.11163e-19           2.62123e-16           8.12309e-16           2.71825e-17           0.444985              
1170   1.53461e-16     1.2366e-19            6.2431e-17            4.66616e-16           3.18682e-17           0.495728              
1171   2.96223e-11     1.92497e-19           9.87369e-11           8.88276e-12           4.13595e-15           0.250899              
1172   1.41764e-16     9.25875e-20           1.02414e-16           3.9524e-16            1.95104e-17           0.462514              
1173   1.34425e-11     1.43639e-19           4.38634e-11           4.97378e-12           2.756e-15             0.256061              
1174   5.13907e-15     1.19789e-19           8.02183e-15           1.05613e-14           1.04436e-16           0.383958              
1175   6.69343e-16     1.00565e-19           6.02868e-16           1.78794e-15           4.66764e-17           0.439542              
1176   2.06026e-16     1.18632e-19           9.07711e-17           6.26285e-16           3.52751e-17           0.487962              
1177   3.74409e-18     8.42355e-20           6.31356e-19           1.06544e-17           2.5119e-18            0.588575              
1178   5.89504e-18     7.43951e-20           1.02018e-18           1.74675e-17           3.20521e-18           0.565853              
1179   2.38313e-16     1.14042e-19           1.70444e-16           6.68888e-16           2.97859e-17           0.46117               
1180   1.0957e-14      9.22861e-20           1.90038e-14           2.06944e-14           1.35723e-16           0.370083              
1181   5.80742e-15     1.32757e-19           8.81015e-15           1.21798e-14           1.29153e-16           0.387455              
1182   3.59843e-18     8.35976e-20           3.79728e-19           9.50314e-18           3.48191e-18           0.635745              
1183   2.4237e-16      7.35872e-20           2.28092e-16           6.38062e-16           1.63753e-17           0.436333              
1184   3.63761e-14     1.37605e-19           7.90478e-14           5.29142e-14           2.52225e-16           0.337083              
1185   1.27292e-17     1.02147e-19           2.43986e-18           3.82129e-17           6.15599e-18           0.553934              
1186   2.39782e-15     1.18165e-19           3.39276e-15           5.25561e-15           7.36155e-17           0.396171              
1187   5.59272e-15     1.60541e-19           7.31825e-15           1.2823e-14            2.05907e-16           0.404848              
1188   9.12605         1.0898e-19            1.85454e-21           4.70704e-19           1.38287e-18           5.36164e-20           
1189   3.72525e-17     1.1731e-19            1.10037e-17           1.12674e-16           1.29373e-17           0.524798              
1190   1.62103e-16     1.60744e-19           6.78937e-17           4.88336e-16           3.65338e-17           0.497446              
1191   1.45603e-17     1.22345e-19           1.72634e-18           4.08919e-17           1.13464e-17           0.601533              
1192   4.45458e-17     1.05119e-19           1.56139e-17           1.33897e-16           1.37001e-17           0.514751              
1193   5.51038e-19     7.88707e-20           5.17134e-21           7.58204e-19           1.31184e-18           0.896055              
1194   2.28138e-14     1.54169e-19           5.18739e-14           3.08925e-14           1.51232e-16           0.329642              
1195   3.05327e-16     1.09275e-19           2.28308e-16           8.53306e-16           3.1234e-17            0.455499              
1196   9.57988e-14     1.15586e-19           2.34064e-13           1.13743e-13           3.38113e-16           0.316749              
1197   9.82169e-18     1.49352e-19           1.23934e-18           2.74355e-17           7.68083e-18           0.604328              
1198   3.707e-18       9.38086e-20           2.26373e-19           9.28449e-18           4.32467e-18           0.668226              
1199   1.2741e-17      6.77382e-20           2.48746e-18           3.88166e-17           5.5086e-18            0.5452                
1200   4.41803e-16     1.27125e-19           3.11226e-16           1.25187e-15           4.74376e-17           0.459372              
1201   1.65671e-16     1.70423e-19           6.24383e-17           5.0166e-16            4.21938e-17           0.504713              
1202   2.83564e-17     7.82514e-20           1.04674e-17           8.48433e-17           8.55927e-18           0.512746              
1203   4.67592e-14     1.17423e-19           1.12161e-13           5.7546e-14            2.29556e-16           0.320221              
1204   1.30257e-18     9.96768e-20           3.87527e-20           2.52636e-18           2.32745e-18           0.781065              
1205   1.87182e-16     1.22033e-19           1.18501e-16           5.33817e-16           3.10718e-17           0.473113              
1206   4.30788e-16     1.44023e-19           3.34786e-16           1.19055e-15           4.48637e-17           0.453592              
1207   1.80431e-16     1.12881e-19           7.4131e-17            5.53467e-16           3.13096e-17           0.490496              
1208   2.73836e-16     9.12964e-20           1.93786e-16           7.73366e-16           3.12512e-17           0.460115              
1209   2.46439e-11     1.93922e-19           8.18462e-11           7.68643e-12           3.66571e-15           0.251784              
1210   2.08009e-15     1.30672e-19           2.5243e-15            4.9474e-15            9.82282e-17           0.41332               
1211   0.947706        6.06629e-20           2.94342e-23           1.72008e-20           1.38764e-19           7.55764e-20           
1212   7.10781e-15     1.20046e-19           1.1094e-14            1.46014e-14           1.51984e-16           0.384116              
1213   2.27069e-15     1.1094e-19            3.24597e-15           4.95041e-15           6.2423e-17            0.394644              
1214   5.06962e-13     1.5821e-19            1.4904e-12            3.51098e-13           5.72753e-16           0.279931              
1215   1.6964e-12      1.32702e-19           5.11482e-12           1.04782e-12           1.1584e-15            0.274341              
1216   2.73734e-14     1.11033e-19           6.20748e-14           3.72448e-14           1.69253e-16           0.330025              
1217   1.07858e-16     1.28475e-19           3.52473e-17           3.29224e-16           3.05419e-17           0.512516              
1218   9.66847e-17     1.13053e-19           3.37386e-17           2.9508e-16            2.50432e-17           0.507443              
1219   4.23038e-19     7.98346e-20           9.17888e-21           7.04077e-19           8.50228e-19           0.86224               
1220   1.74233e-18     9.32239e-20           1.09383e-19           4.26883e-18           2.09475e-18           0.68545               
1221   1.55424e-16     1.07954e-19           1.16514e-16           4.32573e-16           1.75192e-17           0.456989              
1222   1.69983e-14     1.72135e-19           2.5119e-14            3.63242e-14           3.72752e-16           0.390294              
1223   8.4094e-19      7.45112e-20           2.14135e-20           1.76172e-18           1.35328e-18           0.761379              
1224   1.98087         7.46072e-20           1.10367e-22           4.40951e-20           3.23449e-19           6.6501e-20            
1225   2.51359e-14     1.56131e-19           3.88822e-14           5.20975e-14           4.14733e-16           0.384441              
1226   5.3165e-13      1.55444e-19           1.57191e-12           3.59314e-13           5.42306e-16           0.278681              
1227   9.7338e-15      1.51619e-19           1.3008e-14            2.21495e-14           2.44276e-16           0.40113               
1228   4.89166         9.00703e-20           1.53429e-21           2.51245e-19           7.1603e-19            5.56933e-20           
1229   6.77938e-19     7.433e-20             2.42969e-20           1.35867e-18           1.13988e-18           0.780041              
1230   1.0453e-08      2.77925e-19           3.72917e-08           6.84141e-10           4.74102e-14           0.233664              
1231   1.26861e-16     1.29292e-19           5.75751e-17           3.81457e-16           2.44477e-17           0.490239              
1232   5.04466e-15     1.13203e-19           7.53287e-15           1.07e-14              1.12544e-16           0.389215              
1233   5.63335e-17     1.25247e-19           1.92587e-17           1.7052e-16            1.65503e-17           0.513369              
1234   4.95113e-16     9.62579e-20           4.72415e-16           1.3008e-15            2.92342e-17           0.434113              
1235   4.71303e-15     1.00957e-19           8.20324e-15           8.86718e-15           6.41855e-17           0.369812              
1236   8.42978e-16     1.1225e-19            7.17902e-16           2.29371e-15           5.8155e-17            0.443032              
1237   7.20005         8.5172e-20            1.5576e-21            3.93576e-19           1.06693e-18           5.30904e-20           
1238   6.80521e-17     1.31884e-19           1.72743e-17           2.05371e-16           2.73509e-17           0.535093              
1239   1.4823e-18      1.00836e-19           3.28404e-20           2.66909e-18           2.89984e-18           0.802038              
1240   3.90268e-16     1.05586e-19           3.05779e-16           1.08239e-15           3.36645e-17           0.450553              
1241   9.51889e-15     1.17126e-19           1.49687e-14           1.94782e-14           1.6437e-16            0.382668              
1242   2.12955e-17     7.05345e-20           7.59442e-18           6.48692e-17           5.43557e-18           0.507276              
1243   1.04131e-14     1.36497e-19           1.66743e-14           2.09901e-14           1.99982e-16           0.380832              
1244   8.48264e-14     1.305e-19             2.02061e-13           1.05879e-13           3.37294e-16           0.32131               
1245   6.37433e-16     1.18025e-19           5.36193e-16           1.73679e-15           4.87227e-17           0.444882              
1246   1.24821e-16     1.19162e-19           8.349e-17             3.51585e-16           2.05967e-17           0.470475              
1247   3.51547e-16     8.57587e-20           2.76557e-16           9.76146e-16           2.78216e-17           0.449295              
1248   2.52731e-15     1.15315e-19           3.50686e-15           5.60111e-15           8.59274e-17           0.398648              
1249   4.15152e-15     1.13059e-19           4.1659e-15            1.07696e-14           1.71045e-16           0.42788               
1250   5.96969e-17     9.09255e-20           1.77311e-17           1.83298e-16           1.76632e-17           0.516656              
1251   4.29294         9.05628e-20           1.89383e-21           2.41593e-19           5.94989e-19           5.57452e-20           
1252   1.48397e-15     1.00979e-19           2.25867e-15           3.10002e-15           3.83605e-17           0.387622              
1253   5.34494e-16     1.15718e-19           2.76129e-16           1.60521e-15           6.82459e-17           0.476027              
1254   1.45695e-14     1.65918e-19           1.983e-14             3.27819e-14           3.78257e-16           0.399438              
1255   8.18342e-18     9.95923e-20           1.22999e-18           2.33394e-17           5.66781e-18           0.58851               
1256   2.52912e-17     1.24715e-19           4.02546e-18           7.53993e-17           1.37898e-17           0.563743              
1257   2.34598e-15     1.68051e-19           3.13751e-15           5.30033e-15           9.82889e-17           0.40347               
1258   2.99012         8.96444e-20           3.38454e-22           8.65411e-20           4.8459e-19            6.29768e-20           
1259   4.39291e-15     1.24668e-19           7.38253e-15           8.51384e-15           7.61573e-17           0.37475               
1260   6.47794e-14     1.57795e-19           1.4953e-13            8.55653e-14           3.38181e-16           0.326906              
1261   3.234e-17       1.34938e-19           4.69956e-18           9.62056e-17           1.83813e-17           0.567721              
1262   7.77394e-16     1.3874e-19            5.78291e-16           2.17286e-15           8.26869e-17           0.456284              
1263   6.70749e-18     9.1038e-20            1.1431e-18            1.96205e-17           3.94365e-18           0.572755              
1264   4.10986e-17     1.0091e-19            1.22293e-17           1.25419e-16           1.29625e-17           0.519799              
1265   4.54323e-16     1.39267e-19           3.47554e-16           1.26417e-15           4.39392e-17           0.453416              
1266   5.30008e-16     1.28058e-19           4.57228e-16           1.42994e-15           4.35367e-17           0.444139              
1267   1.45638e-14     1.4869e-19            2.43575e-14           2.83621e-14           2.32537e-16           0.375142              
1268   1.27404e-15     1.29361e-19           1.16191e-15           3.39549e-15           8.14596e-17           0.437866              
1269   0.941371        6.29895e-20           6.43898e-24           8.76568e-21           1.44872e-19           7.79052e-20           
1270   8.08026e-15     1.53607e-19           1.28705e-14           1.63539e-14           1.57615e-16           0.381499              
1271   1.11334e-16     1.12528e-19           8.43357e-17           3.05387e-16           1.65179e-17           0.461621              
1272   1.80643e-12     1.75209e-19           5.41846e-12           1.14373e-12           1.45619e-15           0.275502              
1273   1.29386e-16     9.34848e-20           6.3936e-17            3.89664e-16           1.84899e-17           0.480063              
1274   4.36208e-13     2.16955e-19           1.236e-12             3.48191e-13           8.66939e-16           0.287866              
1275   2.30877e-16     1.38095e-19           8.94396e-17           7.06563e-16           4.79099e-17           0.497043              
1276   1.43042e-15     1.34173e-19           1.30626e-15           3.81888e-15           8.21779e-17           0.436851              
1277   1.38261e-17     9.99321e-20           4.50645e-18           4.14583e-17           4.68633e-18           0.523143              
1278   7.92992e-16     1.08802e-19           6.7021e-16            2.16044e-15           5.73485e-17           0.443983              
1279   2.62605e-18     1.01091e-19           8.35018e-20           5.39894e-18           4.4284e-18            0.750059              
1280   2.59984e-17     1.07369e-19           8.72482e-18           7.79883e-17           8.56493e-18           0.519732              
1281   9.04109e-16     9.50061e-20           9.06828e-16           2.341e-15             4.25178e-17           0.428776              
1282   5.82247e-19     7.77675e-20           6.83368e-21           8.57784e-19           1.32629e-18           0.877093              
1283   1.37691e-12     1.32036e-19           4.16934e-12           8.32662e-13           9.31495e-16           0.27339               
1284   1.96651e-14     1.24102e-19           4.59115e-14           2.54457e-14           1.1417e-16            0.325053              
1285   1.50441e-13     1.36773e-19           3.70288e-13           1.75962e-13           4.64595e-16           0.315359              
1286   2.35122e-14     1.86516e-19           4.75061e-14           3.76779e-14           2.89213e-16           0.349056              
1287   1.04305e-16     7.77319e-20           7.26457e-17           2.956e-16             1.20297e-17           0.461289              
1288   1.02891e-14     1.62106e-19           1.56031e-14           2.15846e-14           2.29825e-16           0.38751               
1289   1.9866e-18      7.8232e-20            1.00807e-19           4.61272e-18           2.72035e-18           0.703955              
1290   1.53318e-16     1.07438e-19           6.58554e-17           4.65389e-16           2.88634e-17           0.491253              
1291   3.45024e-17     7.68327e-20           1.09808e-17           1.04819e-16           1.06181e-17           0.517091              
1292   5.31634e-18     1.00758e-19           4.91482e-19           1.41384e-17           5.13081e-18           0.634483              
1293   9.42962e-18     1.17201e-19           9.63e-19              2.57307e-17           8.32406e-18           0.619216              
1294   2.10356e-16     1.41575e-19           4.79835e-17           6.62181e-16           6.04097e-17           0.52011               
1295   3.48865e-15     1.45292e-19           4.92107e-15           7.66345e-15           1.05155e-16           0.396407              
1296   1.60276e-17     9.43985e-20           2.42666e-18           4.70095e-17           9.72221e-18           0.573459              
1297   4.25544e-14     1.47178e-19           9.64558e-14           5.7913e-14            2.99048e-16           0.330222              
1298   4.80639e-19     9.25022e-20           5.68884e-21           7.03587e-19           1.07674e-18           0.897373              
1299   9.39343e-15     1.51634e-19           1.38074e-14           2.01207e-14           2.34751e-16           0.391308              
1300   9.37124e-19     1.06704e-19           1.18488e-20           1.37606e-18           2.15379e-18           0.871352              
1301   6.95786         7.9433e-20            1.83526e-21           4.2772e-19            9.80426e-19           5.18721e-20           
1302   2.68994e-18     7.58591e-20           3.8269e-19            7.53363e-18           2.00528e-18           0.603604              
1303   1.39905e-13     1.94833e-19           3.07798e-13           1.99831e-13           8.63292e-16           0.334991              
1304   5.02858e-15     1.33112e-19           6.80471e-15           1.13277e-14           1.59714e-16           0.400847              
1305   3.09907e-15     1.93525e-19           3.58384e-15           7.51479e-15           1.8339e-16            0.419217              
1306   1.87082e-13     1.51933e-19           4.49529e-13           2.29607e-13           7.5715e-16            0.319792              
1307   1.29968e-16     1.31357e-19           5.64285e-17           3.93174e-16           2.52501e-17           0.491903              
1308   1.31669e-17     7.68083e-20           4.49929e-18           3.91911e-17           4.56972e-18           0.522532              
1309   1.19017e-13     1.46468e-19           2.8975e-13            1.42362e-13           4.10612e-16           0.317381              
1310   2.41921e-16     1.36499e-19           1.09858e-16           7.32737e-16           4.07475e-17           0.486568              
1311   2.05242         7.05357e-20           2.31114e-22           6.58897e-20           3.18091e-19           6.38799e-20           
1312   1.33157e-14     1.318e-19             2.25541e-14           2.5674e-14            1.82926e-16           0.373258              
1313   1.39206e-13     1.07828e-19           3.4275e-13            1.62717e-13           4.1485e-16            0.315282              
1314   5.38762e-14     2.00998e-19           1.26213e-13           6.92562e-14           3.42618e-16           0.324545              
1315   6.63166e-17     1.24983e-19           2.72464e-17           1.99153e-16           1.61798e-17           0.501068              
1316   7.94941e-18     1.29869e-19           4.61277e-19           2.02071e-17           9.02901e-18           0.660159              
1317   2.20913e-13     1.85342e-19           5.11403e-13           2.90397e-13           1.07366e-15           0.326364              
1318   5.96702e-12     2.16369e-19           1.76502e-11           4.02653e-12           4.52421e-15           0.27855               
1319   1.43304e-17     9.7878e-20            2.49546e-18           4.2561e-17            7.73218e-18           0.562662              
1320   2.49183e-14     1.0392e-19            5.69765e-14           3.34263e-14           1.63678e-16           0.328697              
1321   7.11424e-18     9.38622e-20           5.15943e-19           1.9299e-17            6.63581e-18           0.628836              
1322   3.92073e-15     1.57921e-19           3.50846e-15           1.05474e-14           2.16552e-16           0.43786               
1323   6.19665e-14     1.41239e-19           1.43503e-13           8.13565e-14           3.53151e-16           0.326421              
1324   4.57587e-17     1.23664e-19           9.31445e-18           1.40328e-16           1.84371e-17           0.539263              
1325   6.69736e-14     1.36716e-19           1.52776e-13           9.02556e-14           3.80719e-16           0.328966              
1326   7.16952e-18     9.86105e-20           1.03032e-18           1.97915e-17           5.73717e-18           0.604996              
1327   1.24211e-11     1.83037e-19           4.13983e-11           3.72806e-12           1.78492e-15           0.25092               
1328   8.32279e-18     9.742e-20             1.18686e-18           2.38659e-17           5.69546e-18           0.587696              
1329   6.62641e-16     1.13037e-19           5.72188e-16           1.80016e-15           4.01356e-17           0.440979              
1330   7.78794e-15     1.21913e-19           1.20629e-14           1.60988e-14           1.58137e-16           0.384836              
1331   1.79505e-12     1.411e-19             5.48436e-12           1.03672e-12           1.109e-15             0.271382              
1332   8.27686e-14     1.32249e-19           1.97582e-13           1.02855e-13           3.64973e-16           0.320997              
1333   2.11615e-14     1.46706e-19           3.65319e-14           4.01285e-14           2.7296e-16            0.370747              
1334   1.00956e-15     1.22787e-19           8.62479e-16           2.74301e-15           7.10331e-17           0.443025              
1335   1.35717e-17     6.34569e-20           5.30079e-18           4.07031e-17           3.64558e-18           0.507278              
1336   7.25542e-15     1.15327e-19           1.09398e-14           1.5287e-14            1.57932e-16           0.388064              
1337   2.41334e-16     8.9699e-20            2.03419e-16           6.57001e-16           1.85623e-17           0.444905              
1338   7.54691e-14     1.15018e-19           1.86208e-13           8.78143e-14           2.38103e-16           0.314929              
1339   1.44193e-12     1.7702e-19            4.27292e-12           9.65032e-13           1.33036e-15           0.278178              
1340   7.36784e-15     1.22698e-19           1.27955e-14           1.38768e-14           1.157e-16             0.370391              
1341   1.37945e-17     8.31934e-20           1.98304e-18           4.08199e-17           8.08352e-18           0.571152              
1342   7.38538e-16     1.03032e-19           7.0788e-16            1.9381e-15            4.25701e-17           0.433571              
1343   1.09282e-18     6.95515e-20           7.50512e-20           2.72826e-18           1.24132e-18           0.679988              
1344   3.77153e-17     1.0447e-19            7.76024e-18           1.16539e-16           1.41276e-17           0.5351                
1345   5.0631e-18      9.15474e-20           3.20458e-19           1.33254e-17           5.20879e-18           0.645304              
