Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1728)   P(D|M,rr[2]=0.3657)   P(D|M,rr[3]=0.5439)   P(D|M,rr[4]=0.7331)   P(D|M,rr[5]=0.9506)   P(D|M,rr[6]=1.2228)   P(D|M,rr[7]=1.6122)   P(D|M,rr[8]=2.3989)   Posterior mean        
1191   1.59191e-17     8.6368e-20            9.84572e-18           3.5295e-17            4.23732e-17           2.69066e-17           1.02526e-17           2.32271e-18           2.70697e-19           0.75685               
1192   4.3385e-17      1.32028e-18           5.93128e-17           1.25347e-16           1.00487e-16           4.53402e-17           1.2793e-17            2.25031e-18           2.30132e-19           0.653133              
1193   14.7796         1.16482e-22           7.28347e-20           6.73905e-19           1.67241e-18           1.98338e-18           1.34229e-18           5.36523e-19           1.28162e-19           5.34399e-20           
1194   1.69593e-14     1.83245e-14           7.00206e-14           3.62972e-14           9.38604e-15           1.48853e-15           1.48209e-16           9.12173e-18           3.8705e-19            0.420171              
1195   2.88847e-16     3.20678e-17           6.67065e-16           9.09403e-16           5.06816e-16           1.60504e-16           3.10449e-17           3.61736e-18           2.54541e-19           0.568055              
1196   6.71216e-14     8.37618e-14           2.85766e-13           1.32659e-13           3.03102e-14           4.12753e-15           3.33637e-16           1.4828e-17            3.6191e-19            0.405427              
1197   1.07821e-17     6.52206e-20           7.08494e-18           2.42937e-17           2.81335e-17           1.7616e-17            6.96027e-18           1.81294e-18           2.90394e-19           0.75725               
1198   4.83457e-18     9.13174e-21           1.84995e-18           8.71605e-18           1.27623e-17           9.63806e-18           4.34531e-18           1.17602e-18           1.7976e-19            0.816468              
1199   1.46899e-17     1.64411e-19           1.40934e-17           3.97126e-17           3.77684e-17           1.89267e-17           5.67688e-18           1.04838e-18           1.2842e-19            0.692683              
1200   3.99937e-16     4.01471e-17           8.89784e-16           1.26257e-15           7.23123e-16           2.32981e-16           4.53625e-17           5.20018e-18           3.23928e-19           0.573616              
1201   1.49114e-16     5.08532e-18           2.19133e-16           4.43779e-16           3.38446e-16           1.43331e-16           3.70376e-17           5.66532e-18           4.3386e-19            0.638966              
1202   3.11884e-17     1.04168e-18           4.45313e-17           9.07324e-17           7.09438e-17           3.16305e-17           8.90771e-18           1.55729e-18           1.62718e-19           0.648027              
1203   3.35048e-14     4.08069e-14           1.40905e-13           6.74115e-14           1.62591e-14           2.41966e-15           2.24194e-16           1.20247e-17           3.54681e-19           0.409482              
1204   1.68987e-18     1.24235e-21           3.51757e-19           2.15422e-18           4.00481e-18           3.82398e-18           2.21047e-18           7.99322e-19           1.73185e-19           0.908271              
1205   1.72733e-16     1.51967e-17           3.46633e-16           5.27159e-16           3.35204e-16           1.24376e-16           2.89311e-17           4.06152e-18           3.01901e-19           0.595384              
1206   3.77501e-16     4.51372e-17           8.91545e-16           1.17983e-15           6.49419e-16           2.07243e-16           4.13987e-17           5.08261e-18           3.54847e-19           0.565667              
1207   1.73308e-16     6.70871e-18           2.84407e-16           5.44884e-16           3.77975e-16           1.38979e-16           2.9609e-17            3.63923e-18           2.62392e-19           0.615559              
1208   2.55156e-16     2.58033e-17           5.61583e-16           7.98893e-16           4.65683e-16           1.54474e-16           3.10112e-17           3.57933e-18           2.23104e-19           0.576519              
1209   1.65658e-11     7.07558e-11           5.05904e-11           9.9364e-12            1.15566e-12           8.46757e-14           3.60606e-15           7.62871e-17           7.67919e-19           0.279671              
1210   1.65637e-15     4.59745e-16           4.99614e-15           4.94022e-15           2.18613e-15           5.69378e-16           9.07114e-17           8.26639e-18           3.74605e-19           0.51789               
1211   1.25098         3.25322e-25           7.91946e-22           1.48698e-20           6.37359e-20           1.25837e-19           1.47957e-19           1.17632e-19           7.17043e-20           7.1674e-20            
1212   5.59538e-15     2.41696e-15           1.98828e-14           1.5613e-14            5.54268e-15           1.15274e-15           1.4436e-16            1.00829e-17           3.53745e-19           0.48105               
1213   1.96845e-15     7.29759e-16           6.7188e-15            5.65524e-15           2.11468e-15           4.61743e-16           6.20496e-17           5.0888e-18            2.70778e-19           0.491053              
1214   3.19019e-13     7.74794e-13           1.28464e-12           4.11992e-13           7.22011e-14           7.96058e-15           5.44543e-16           2.18088e-17           5.12574e-19           0.348309              
1215   1.11724e-12     2.93856e-12           4.45748e-12           1.31198e-12           2.08446e-13           2.02424e-14           1.14725e-15           3.34849e-17           4.83693e-19           0.338436              
1216   1.99055e-14     2.10663e-14           8.21166e-14           4.30015e-14           1.11363e-14           1.74585e-15           1.67409e-16           9.33118e-18           3.12981e-19           0.421376              
1217   1.0623e-16      2.92422e-18           1.4124e-16            3.10651e-16           2.51675e-16           1.10344e-16           2.85093e-17           4.18644e-18           3.14353e-19           0.650579              
1218   9.56185e-17     2.92045e-18           1.34541e-16           2.84171e-16           2.21832e-16           9.40967e-17           2.36859e-17           3.43491e-18           2.662e-19             0.642512              
1219   10.5588         2.8087e-22            9.29319e-20           6.19721e-19           1.23884e-18           1.28792e-18           8.43574e-19           3.76607e-19           1.1927e-19            5.24265e-20           
1220   2.25055e-18     4.48482e-21           8.7906e-19            4.02871e-18           5.78431e-18           4.37868e-18           2.09373e-18           6.81515e-19           1.53872e-19           0.830063              
1221   1.41571e-16     1.58359e-17           3.25917e-16           4.42586e-16           2.48205e-16           8.07269e-17           1.67633e-17           2.30923e-18           2.24445e-19           0.570481              
1222   1.317e-14       5.16599e-15           4.57487e-14           3.75813e-14           1.36637e-14           2.83702e-15           3.4143e-16            2.14506e-17           5.81569e-19           0.486238              
1223   22.0813         5.89723e-22           2.45978e-19           1.64333e-18           3.02099e-18           2.68783e-18           1.39592e-18           4.6573e-19            1.15878e-19           4.80586e-20           
1224   2.51488         1.46537e-24           2.14876e-21           3.42192e-20           1.38088e-19           2.68473e-19           3.12026e-19           2.30896e-19           1.04804e-19           6.86443e-20           
1225   1.94313e-14     8.13078e-15           6.97492e-14           5.48064e-14           1.87646e-14           3.59108e-15           3.86746e-16           2.10973e-17           5.1974e-19            0.478601              
1226   3.61886e-13     8.98993e-13           1.45329e-12           4.55874e-13           7.80175e-14           8.34744e-15           5.46547e-16           2.05721e-17           4.79618e-19           0.34561               
1227   7.97137e-15     2.55223e-15           2.62817e-14           2.36374e-14           9.10377e-15           1.94607e-15           2.34601e-16           1.47069e-17           4.60265e-19           0.497781              
1228   6.46994         3.21163e-23           2.05953e-20           2.0556e-19            5.73078e-19           8.01602e-19           6.85916e-19           3.83175e-19           1.35931e-19           5.9585e-20            
1229   17.3363         9.24703e-22           2.29722e-19           1.28727e-18           2.23893e-18           2.04342e-18           1.16399e-18           4.39183e-19           1.15001e-19           4.88537e-20           
1230   1.03378e-08     7.07903e-08           1.09319e-08           9.23475e-10           5.4805e-11            2.12155e-12           4.51976e-14           4.11535e-16           1.4946e-18            0.202843              
1231   1.22668e-16     5.49429e-18           2.09793e-16           3.7999e-16            2.59712e-16           9.9115e-17            2.34889e-17           3.45252e-18           2.96043e-19           0.615451              
1232   4.26422e-15     1.69107e-15           1.48448e-14           1.21323e-14           4.40415e-15           9.19687e-16           1.13554e-16           7.82029e-18           3.04671e-19           0.485866              
1233   5.52601e-17     1.61564e-18           7.53199e-17           1.61231e-16           1.28631e-16           5.6836e-17            1.55207e-17           2.65374e-18           2.72795e-19           0.650925              
1234   4.47294e-16     7.31128e-17           1.23556e-15           1.4057e-15            6.57369e-16           1.74891e-16           2.85931e-17           2.91558e-18           2.08313e-19           0.535825              
1235   3.82763e-15     2.01252e-15           1.45927e-14           1.01782e-14           3.18924e-15           5.80008e-16           6.38384e-17           4.31367e-18           2.28173e-19           0.463569              
1236   7.50812e-16     1.01298e-16           1.91753e-15           2.38504e-15           1.20185e-15           3.38411e-16           5.66228e-17           5.44525e-18           2.90978e-19           0.548984              
1237   9.67964         2.31165e-23           2.58919e-20           3.13781e-19           9.36693e-19           1.29298e-18           1.01351e-18           4.79148e-19           1.35848e-19           5.72555e-20           
1238   7.05349e-17     1.32848e-18           7.65128e-17           1.92461e-16           1.76342e-16           8.74298e-17           2.564e-17             4.23457e-18           3.29949e-19           0.680969              
1239   1.92639e-18     9.67878e-22           3.26697e-19           2.2289e-18            4.47996e-18           4.5214e-18            2.6951e-18            9.68428e-19           1.89683e-19           0.923129              
1240   3.51762e-16     4.14279e-17           8.39161e-16           1.11404e-15           6.00841e-16           1.81867e-16           3.29743e-17           3.54626e-18           2.41755e-19           0.561442              
1241   7.48744e-15     3.20402e-15           2.69196e-14           2.09946e-14           7.20814e-15           1.40401e-15           1.58864e-16           9.91816e-18           3.43286e-19           0.478248              
1242   2.29133e-17     6.95746e-19           3.25721e-17           6.84455e-17           5.2697e-17            2.21164e-17           5.6941e-18            9.58835e-19           1.26623e-19           0.642257              
1243   7.78653e-15     3.51714e-15           2.81105e-14           2.15224e-14           7.44323e-15           1.50366e-15           1.82439e-16           1.24158e-17           4.21946e-19           0.477164              
1244   6.18181e-14     7.31083e-14           2.61183e-13           1.26007e-13           2.97481e-14           4.14624e-15           3.37201e-16           1.48056e-17           3.8256e-19            0.410205              
1245   5.78876e-16     7.73244e-17           1.46183e-15           1.83106e-15           9.37022e-16           2.7105e-16            4.74806e-17           4.94391e-18           2.97081e-19           0.551761              
1246   1.14553e-16     1.07466e-17           2.37354e-16           3.48881e-16           2.16415e-16           8.02349e-17           1.94767e-17           3.04294e-18           2.73584e-19           0.592217              
1247   3.39571e-16     4.00577e-17           8.26354e-16           1.08493e-15           5.68244e-16           1.65107e-16           2.86938e-17           2.982e-18             1.95952e-19           0.556996              
1248   2.05105e-15     7.25096e-16           6.75057e-15           5.92467e-15           2.36025e-15           5.58651e-16           8.18371e-17           7.03036e-18           3.21343e-19           0.499127              
1249   3.5308e-15      6.16593e-16           1.0153e-14            1.11627e-14           4.94436e-15           1.19546e-15           1.62603e-16           1.12589e-17           3.48581e-19           0.526433              
1250   6.34189e-17     1.49361e-18           7.95572e-17           1.84061e-16           1.5352e-16            6.82915e-17           1.76619e-17           2.56249e-18           2.0322e-19            0.656643              
1251   5.69122         4.45869e-23           2.37076e-20           2.05386e-19           5.1536e-19            6.76893e-19           5.74221e-19           3.39327e-19           1.33236e-19           5.95331e-20           
1252   1.30589e-15     5.37731e-16           4.55758e-15           3.67203e-15           1.34311e-15           2.92625e-16           4.02648e-17           3.53627e-18           2.24974e-19           0.485788              
1253   5.02572e-16     2.91572e-17           9.50014e-16           1.6086e-15            1.01778e-15           3.42834e-16           6.53143e-17           6.56817e-18           3.13808e-19           0.594602              
1254   1.10856e-14     3.7265e-15            3.6736e-14            3.2549e-14            1.2576e-14            2.73741e-15           3.38329e-16           2.10393e-17           5.49839e-19           0.496725              
1255   9.23618e-18     7.17859e-20           6.85756e-18           2.1786e-17            2.39323e-17           1.43465e-17           5.3929e-18            1.30764e-18           1.9471e-19            0.740609              
1256   2.68196e-17     2.20968e-19           2.15029e-17           6.74382e-17           7.09009e-17           3.90558e-17           1.27191e-17           2.45298e-18           2.6588e-19            0.716987              
1257   1.87229e-15     6.27863e-16           6.00021e-15           5.43072e-15           2.25428e-15           5.65669e-16           9.0318e-17            8.79784e-18           4.60908e-19           0.505568              
1258   3.79275         5.96858e-24           5.24737e-21           6.75152e-20           2.38962e-19           4.23384e-19           4.58335e-19           3.18996e-19           1.32394e-19           6.62004e-20           
1259   3.53354e-15     1.75261e-15           1.31693e-14           9.52964e-15           3.12876e-15           6.08144e-16           7.39027e-17           5.64915e-18           2.98621e-19           0.469566              
1260   4.82196e-14     5.30448e-14           2.01098e-13           1.02045e-13           2.54222e-14           3.78997e-15           3.39091e-16           1.70246e-17           4.76777e-19           0.417075              
1261   3.5211e-17      2.52163e-19           2.64039e-17           8.69061e-17           9.44516e-17           5.29683e-17           1.7201e-17            3.19585e-18           3.08853e-19           0.722408              
1262   6.41516e-16     7.13778e-17           1.4613e-15            2.00622e-15           1.14139e-15           3.70968e-16           7.25579e-17           7.91957e-18           3.96253e-19           0.570869              
1263   7.80182e-18     7.21868e-20           6.52066e-18           1.95001e-17           2.00436e-17           1.12128e-17           3.96628e-18           9.40126e-19           1.58844e-19           0.722647              
1264   4.24029e-17     9.946e-19             5.3361e-17            1.22588e-16           1.01656e-16           4.57405e-17           1.25402e-17           2.12663e-18           2.16183e-19           0.659307              
1265   3.94804e-16     4.53108e-17           9.28208e-16           1.24467e-15           6.8191e-16            2.12541e-16           4.06885e-17           4.7631e-18            3.33928e-19           0.56498               
1266   4.52309e-16     6.28275e-17           1.14909e-15           1.41768e-15           7.27453e-16           2.16199e-16           4.02659e-17           4.64152e-18           3.12723e-19           0.552291              
1267   1.17023e-14     5.80884e-15           4.36666e-14           3.16241e-14           1.03262e-14           1.95792e-15           2.20678e-16           1.37756e-17           4.43904e-19           0.46889               
1268   1.0805e-15      1.64312e-16           2.88659e-15           3.40589e-15           1.65123e-15           4.53523e-16           7.49972e-17           7.13204e-18           3.52125e-19           0.541666              
1269   1.20684         4.43245e-26           2.43724e-22           7.08475e-21           4.17723e-20           1.06235e-19           1.52073e-19           1.36138e-19           7.98367e-20           7.58705e-20           
1270   6.0977e-15      2.7179e-15            2.20098e-14           1.6897e-14            5.8274e-15            1.17432e-15           1.44306e-16           1.05062e-17           4.34584e-19           0.477463              
1271   1.00976e-16     1.17184e-17           2.29937e-16           3.078e-16             1.77369e-16           6.29424e-17           1.52825e-17           2.50913e-18           2.47452e-19           0.577759              
1272   1.08261e-12     2.81343e-12           4.32102e-12           1.29296e-12           2.10724e-13           2.13698e-14           1.31005e-15           4.37835e-17           6.87568e-19           0.340151              
1273   1.25725e-16     6.30354e-18           2.32095e-16           4.01179e-16           2.56463e-16           8.87887e-17           1.8411e-17            2.35761e-18           2.02594e-19           0.599911              
1274   2.71297e-13     6.01696e-13           1.09262e-12           3.8842e-13            7.69915e-14           9.82259e-15           7.87623e-16           3.54665e-17           7.62321e-19           0.360117              
1275   2.17724e-16     7.75106e-18           3.35127e-16           6.67254e-16           4.88921e-16           1.9263e-16            4.41482e-17           5.60614e-18           3.51359e-19           0.62708               
1276   1.24586e-15     1.86958e-16           3.34414e-15           3.95477e-15           1.89196e-15           5.0293e-16            7.87584e-17           7.04493e-18           3.51975e-19           0.539771              
1277   1.54615e-17     4.28954e-19           2.04165e-17           4.43769e-17           3.6026e-17            1.64287e-17           4.83946e-18           1.00604e-18           1.69223e-19           0.660124              
1278   7.47721e-16     1.00425e-16           1.88588e-15           2.36754e-15           1.21482e-15           3.48695e-16           5.86849e-17           5.45166e-18           2.74987e-19           0.551342              
1279   3.46907e-18     2.77831e-21           7.68348e-19           4.6784e-18            8.60921e-18           7.95896e-18           4.2449e-18            1.28968e-18           2.0025e-19            0.88115               
1280   2.71628e-17     7.80522e-19           3.61048e-17           7.77738e-17           6.33271e-17           2.9061e-17            8.44475e-18           1.60348e-18           2.07148e-19           0.658533              
1281   8.27012e-16     1.44967e-16           2.37354e-15           2.60272e-15           1.1598e-15            2.88423e-16           4.26891e-17           3.73758e-18           2.16661e-19           0.52778               
1282   14.9442         1.56754e-22           8.68919e-20           7.39407e-19           1.72205e-18           1.95622e-18           1.30619e-18           5.38121e-19           1.31971e-19           5.30095e-20           
1283   8.56997e-13     2.27771e-12           3.41008e-12           9.94605e-13           1.5731e-13            1.53534e-14           8.95234e-16           2.84665e-17           4.78029e-19           0.337315              
1284   1.42988e-14     1.63822e-14           5.97806e-14           2.96485e-14           7.34093e-15           1.12095e-15           1.09695e-16           6.99767e-18           3.17704e-19           0.414465              
1285   1.10599e-13     1.40794e-13           4.73986e-13           2.15538e-13           4.77631e-14           6.21969e-15           4.7111e-16            1.91021e-17           4.25409e-19           0.402833              
1286   1.64788e-14     1.37438e-14           6.41809e-14           3.93886e-14           1.19935e-14           2.24363e-15           2.61617e-16           1.7578e-17            5.84485e-19           0.44408               
1287   1.04649e-16     1.02801e-17           2.29055e-16           3.28859e-16           1.91411e-16           6.30402e-17           1.27571e-17           1.63382e-18           1.55068e-19           0.577248              
1288   7.89516e-15     3.23547e-15           2.76386e-14           2.22948e-14           8.06922e-15           1.69607e-15           2.12108e-16           1.45593e-17           4.89334e-19           0.48454               
1289   2.63315e-18     3.89801e-21           8.43713e-19           4.25953e-18           6.73356e-18           5.53244e-18           2.7318e-18            8.17555e-19           1.42721e-19           0.846078              
1290   1.49713e-16     6.21589e-18           2.47849e-16           4.64416e-16           3.24238e-16           1.23316e-16           2.78079e-17           3.6087e-18            2.55553e-19           0.617577              
1291   3.81426e-17     1.00943e-18           4.92716e-17           1.09942e-16           9.09104e-17           4.10475e-17           1.10642e-17           1.73517e-18           1.59788e-19           0.656651              
1292   6.46021e-18     2.47181e-20           3.26089e-18           1.29845e-17           1.70909e-17           1.18653e-17           4.97924e-18           1.28216e-18           1.93965e-19           0.787312              
1293   1.08366e-17     4.7653e-20            5.86165e-18           2.25595e-17           2.89414e-17           1.94732e-17           7.75654e-18           1.8176e-18            2.35587e-19           0.774364              
1294   2.06749e-16     2.86964e-18           2.30616e-16           6.04403e-16           5.2332e-16            2.29466e-16           5.58133e-17           7.10695e-18           3.96308e-19           0.662654              
1295   2.92038e-15     1.0645e-15            9.80416e-15           8.41245e-15           3.23919e-15           7.32365e-16           1.01617e-16           8.34927e-18           3.90887e-19           0.494553              
1296   1.7864e-17      1.36331e-19           1.34691e-17           4.3335e-17            4.72279e-17           2.72615e-17           9.37921e-18           1.89748e-18           2.05738e-19           0.728284              
1297   3.03336e-14     3.26876e-14           1.24393e-13           6.52102e-14           1.72573e-14           2.81904e-15           2.84891e-16           1.62458e-17           4.63992e-19           0.421609              
1298   12.6434         1.34378e-22           7.50187e-20           6.29895e-19           1.44124e-18           1.6185e-18            1.09289e-18           4.82076e-19           1.43453e-19           5.36149e-20           
1299   7.0636e-15      2.75949e-15           2.42372e-14           2.01306e-14           7.52202e-15           1.63416e-15           2.10285e-16           1.45784e-17           4.70639e-19           0.489105              
1300   22.127          2.6665e-22            1.36915e-19           1.11177e-18           2.52797e-18           2.86742e-18           1.94765e-18           8.15608e-19           1.88441e-19           5.30043e-20           
1301   10.1424         3.02641e-23           3.23967e-20           3.73347e-19           1.05369e-18           1.36697e-18           1.0026e-18            4.45028e-19           1.24489e-19           5.58178e-20           
1302   3.25881e-18     2.32671e-20           2.31467e-18           7.49982e-18           8.35156e-18           5.12569e-18           2.05209e-18           5.80119e-19           1.23282e-19           0.754317              
1303   9.72174e-14     9.61738e-14           3.97821e-13           2.16657e-13           5.73241e-14           8.9244e-15            8.01557e-16           3.64159e-17           7.07978e-19           0.426214              
1304   4.09452e-15     1.37757e-15           1.33583e-14           1.19644e-14           4.78226e-15           1.10902e-15           1.52746e-16           1.14243e-17           4.04394e-19           0.500571              
1305   2.36266e-15     6.21903e-16           6.83719e-15           7.03904e-15           3.30431e-15           9.24583e-16           1.58532e-16           1.50933e-17           6.14625e-19           0.526806              
1306   1.28491e-13     1.56227e-13           5.43278e-13           2.58312e-13           6.08087e-14           8.56203e-15           7.08132e-16           3.01182e-17           5.51057e-19           0.408387              
1307   1.28153e-16     5.38736e-18           2.13489e-16           3.97116e-16           2.75658e-16           1.05229e-16           2.45211e-17           3.52104e-18           2.99808e-19           0.617916              
1308   1.39497e-17     4.19264e-19           1.87076e-17           3.96527e-17           3.22408e-17           1.50073e-17           4.51402e-18           9.18352e-19           1.37609e-19           0.660537              
1309   8.42781e-14     1.04504e-13           3.59291e-13           1.66973e-13           3.79405e-14           5.09617e-15           4.03068e-16           1.76496e-17           4.47721e-19           0.405564              
1310   2.26181e-16     1.01749e-17           3.92744e-16           7.11122e-16           4.77871e-16           1.7447e-16            3.79055e-17           4.82667e-18           3.35723e-19           0.609741              
1311   2.71492         3.5734e-24            4.14611e-21           5.43089e-20           1.83938e-19           3.06579e-19           3.14815e-19           2.15729e-19           9.78881e-20           6.56062e-20           
1312   1.04818e-14     5.19004e-15           3.93746e-14           2.83567e-14           9.08197e-15           1.66242e-15           1.77988e-16           1.06203e-17           3.71225e-19           0.467388              
1313   1.01629e-13     1.28248e-13           4.35616e-13           1.9893e-13            4.40891e-14           5.70902e-15           4.25567e-16           1.66262e-17           3.44213e-19           0.403368              
1314   3.63744e-14     4.20673e-14           1.5158e-13            7.51472e-14           1.88817e-14           2.98985e-15           3.08931e-16           1.96927e-17           6.40593e-19           0.414671              
1315   6.54769e-17     2.58304e-18           1.03779e-16           1.97695e-16           1.43101e-16           5.86005e-17           1.52381e-17           2.55389e-18           2.6497e-19            0.629857              
1316   9.909e-18       1.70913e-20           3.69005e-18           1.79774e-17           2.66365e-17           1.98978e-17           8.62588e-18           2.15265e-18           2.74584e-19           0.810514              
1317   1.44133e-13     1.60535e-13           6.0167e-13            3.03553e-13           7.52335e-14           1.10784e-14           9.51283e-16           4.15706e-17           7.29433e-19           0.416091              
1318   3.58988e-12     8.79484e-12           1.45286e-11           4.55673e-12           7.59084e-13           7.54797e-14           4.17521e-15           1.05756e-16           9.76539e-19           0.34627               
1319   1.67478e-17     1.60702e-19           1.4357e-17            4.26797e-17           4.34721e-17           2.3712e-17            7.8327e-18            1.57557e-18           1.92696e-19           0.712661              
1320   1.79617e-14     1.95287e-14           7.40379e-14           3.83697e-14           9.9869e-15            1.60142e-15           1.59797e-16           9.26255e-18           3.01278e-19           0.420149              
1321   8.44946e-18     1.93069e-20           3.76613e-18           1.68745e-17           2.30749e-17           1.58807e-17           6.32575e-18           1.46509e-18           1.89187e-19           0.785901              
1322   3.15651e-15     4.61523e-16           8.4162e-15            1.00618e-14           4.83174e-15           1.27348e-15           1.91781e-16           1.50859e-17           5.0917e-19            0.54027               
1323   4.36454e-14     4.89331e-14           1.81163e-13           9.18385e-14           2.32796e-14           3.59415e-15           3.37125e-16           1.74695e-17           4.53268e-19           0.416937              
1324   4.8006e-17      5.71036e-19           4.78447e-17           1.31998e-16           1.22837e-16           6.00868e-17           1.74369e-17           2.99388e-18           2.79687e-19           0.685812              
1325   4.62401e-14     4.96093e-14           1.9131e-13            9.92814e-14           2.54313e-14           3.91153e-15           3.59079e-16           1.78332e-17           4.4039e-19            0.419985              
1326   8.14193e-18     6.0758e-20            5.66656e-18           1.82189e-17           2.08648e-17           1.33529e-17           5.40221e-18           1.37183e-18           1.97488e-19           0.75648               
1327   8.64e-12        3.74418e-11           2.60713e-11           4.99541e-12           5.68476e-13           4.11971e-14           1.79588e-15           4.31183e-17           6.26553e-19           0.277477              
1328   9.70333e-18     6.95902e-20           6.96437e-18           2.27894e-17           2.54563e-17           1.52691e-17           5.60703e-18           1.28614e-18           1.84679e-19           0.740791              
1329   6.46525e-16     8.89891e-17           1.69291e-15           2.06906e-15           1.00625e-15           2.68707e-16           4.21341e-17           3.89585e-18           2.47773e-19           0.543551              
1330   6.25554e-15     2.66425e-15           2.23261e-14           1.75179e-14           6.13223e-15           1.24308e-15           1.50265e-16           1.00953e-17           3.51155e-19           0.480191              
1331   1.09422e-12     3.01205e-12           4.32141e-12           1.21534e-12           1.86144e-13           1.77243e-14           1.02127e-15           3.2289e-17            5.13133e-19           0.33316               
1332   5.82696e-14     6.94265e-14           2.45388e-13           1.18486e-13           2.83877e-14           4.09657e-15           3.5456e-16            1.68723e-17           4.20856e-19           0.410468              
1333   1.6502e-14      8.52732e-15           6.29037e-14           4.41076e-14           1.37499e-14           2.45418e-15           2.58016e-16           1.50826e-17           4.52907e-19           0.463734              
1334   9.12588e-16     1.25059e-16           2.33271e-15           2.89045e-15           1.46187e-15           4.14573e-16           6.93032e-17           6.41409e-18           3.14301e-19           0.549049              
1335   1.46342e-17     5.22874e-19           2.19398e-17           4.34234e-17           3.26334e-17           1.39088e-17           3.81765e-18           7.19199e-19           1.08889e-19           0.64034               
1336   5.95383e-15     2.39844e-15           2.07903e-14           1.68881e-14           6.11309e-15           1.27381e-15           1.56121e-16           1.04014e-17           3.46995e-19           0.485057              
1337   2.39592e-16     3.25189e-17           6.08936e-16           7.57368e-16           3.85273e-16           1.10891e-16           1.94442e-17           2.12781e-18           1.78958e-19           0.550798              
1338   5.48803e-14     7.03772e-14           2.35338e-13           1.06461e-13           2.35383e-14           3.07906e-15           2.38685e-16           1.05859e-17           3.17529e-19           0.402276              
1339   8.62159e-13     2.14256e-12           3.46591e-12           1.08411e-12           1.84074e-13           1.9355e-14            1.21701e-15           4.09218e-17           6.63293e-19           0.345384              
1340   5.79126e-15     3.05348e-15           2.19351e-14           1.53665e-14           4.91927e-15           9.36556e-16           1.10962e-16           7.91404e-18           3.31079e-19           0.465198              
1341   1.62866e-17     1.16125e-19           1.20898e-17           3.98796e-17           4.36334e-17           2.47195e-17           8.13615e-18           1.54795e-18           1.70011e-19           0.72508               
1342   6.72588e-16     1.09625e-16           1.85586e-15           2.11544e-15           9.90121e-16           2.62804e-16           4.24686e-17           4.13839e-18           2.48521e-19           0.535822              
1343   1.52618e-18     3.50915e-21           6.5349e-19            2.85844e-18           3.93312e-18           2.87531e-18           1.34381e-18           4.35289e-19           1.06499e-19           0.81999               
1344   3.94804e-17     4.68534e-19           3.97408e-17           1.09829e-16           1.01274e-16           4.84412e-17           1.35831e-17           2.27911e-18           2.27702e-19           0.682228              
1345   6.37963e-18     1.22676e-20           2.57692e-18           1.21777e-17           1.73741e-17           1.23831e-17           5.09753e-18           1.23875e-18           1.76719e-19           0.79808               
1346   9.80918e-13     2.41115e-12           3.95654e-12           1.24541e-12           2.11027e-13           2.18482e-14           1.31899e-15           4.05336e-17           5.70062e-19           0.346362              
1347   3.88899         1.50482e-24           2.51464e-21           4.4019e-20            1.9264e-19            4.03015e-19           4.99067e-19           3.83055e-19           1.62268e-19           6.96289e-20           
1348   5.43757         1.2704e-23            1.34564e-20           1.59641e-19           4.79823e-19           6.88588e-19           5.85051e-19           3.17823e-19           1.13773e-19           5.97428e-20           
1349   0.741218        2.99633e-26           1.4592e-22            3.9322e-21            2.21798e-20           5.60375e-20           8.44577e-20           8.75139e-20           6.7185e-20            8.04848e-20           
1350   4.43405e-13     9.82171e-13           1.80208e-12           6.29128e-13           1.18908e-13           1.39318e-14           9.78864e-16           3.72938e-17           7.36869e-19           0.358748              
1351   2.0959e-17      7.00822e-19           3.00173e-17           6.10034e-17           4.7395e-17            2.10595e-17           6.09386e-18           1.22168e-18           1.80793e-19           0.649477              
1352   8.49591e-17     3.26217e-18           1.33782e-16           2.58353e-16           1.87603e-16           7.54058e-17           1.83957e-17           2.65676e-18           2.14404e-19           0.627533              
1353   6.90213e-16     1.07817e-16           1.87131e-15           2.17736e-15           1.03711e-15           2.78593e-16           4.49944e-17           4.27188e-18           2.46186e-19           0.53876               
1354   2.67163e-16     3.45961e-17           6.55968e-16           8.35353e-16           4.43495e-16           1.37339e-16           2.69673e-17           3.33239e-18           2.5357e-19            0.559049              
1355   4.32194e-15     1.64229e-15           1.47262e-14           1.23786e-14           4.66212e-15           1.0215e-15            1.34375e-16           1.00646e-17           4.19114e-19           0.49087               
1356   2.40643e-11     1.02953e-10           7.35188e-11           1.43008e-11           1.6237e-12            1.13219e-13           4.38764e-15           7.90735e-17           6.69812e-19           0.279238              
1357   4.65349e-16     4.33135e-17           9.82951e-16           1.44996e-15           8.7537e-16            3.00794e-16           6.25614e-17           7.41689e-18           4.23752e-19           0.583634              
1358   7.98547e-12     3.45637e-11           2.41438e-11           4.61666e-12           5.20996e-13           3.70458e-14           1.55421e-15           3.50183e-17           4.83517e-19           0.277566              
1359   8.99399e-16     1.45132e-16           2.45114e-15           2.81913e-15           1.34514e-15           3.67275e-16           6.11042e-17           5.94735e-18           3.21609e-19           0.538571              
